year;jounral;title;url
2021;Atoms 9 (4)_ 109;Oleg Zatsarinny (1953–2021): Memories by His Colleagues;https://www.mdpi.com/2218-2004/9/4/109
2021;Atoms 9 (4)_ 103;Electron scattering cross-section calculations for atomic and molecular iodine;https://www.mdpi.com/2218-2004/9/4/103
2021;Plasma Sources Science and Technology 30 (11)_ 115019;Transport of electrons and propagation of the negative ionisation fronts in indium vapour;
2021;Atoms 9 (4)_ 94;Relativistic B-Spline R-Matrix Calculations for Electron Scattering from Thallium Atoms;https://www.mdpi.com/2218-2004/9/4/94
2021;Physical Review A 104 (5)_ 053103;Magnetic dichroism in few-photon ionization of polarized atoms;https://link.aps.org/accepted/10.1103/PhysRevA.104.053103
2021;Atoms 9 (4)_ 82;Low-Energy Elastic Electron Scattering from Helium Atoms;https://www.mdpi.com/2218-2004/9/4/82
2021;Physical Review A 104 (4)_ L040801;Linear polarization fractions of Fulcher- fluorescence in electron collisions with;https://link.aps.org/accepted/10.1103/PhysRevA.104.L040801
2021;Abhijit Dasgupta_ J P. Apruzes_ O Zatsarinny_ K Bartschat_ Charlotte F. Fischer;Improved Transition Oscillator Probabilities for Laser Transitions in Xe I;
2021;Atoms 9 (3)_ 61;Benchmark Angle-Differential Cross-Section Ratios for Excitation of the 4p5s Configuration in Krypton;https://www.mdpi.com/2218-2004/9/3/61
2021;Atoms 9 (3)_ 53;A Tribute to Oleg Zatsarinny (1953–2021): His Life in Science;https://www.mdpi.com/2218-2004/9/3/53
2021;Atoms 9 (3)_ 47;Relativistic B-Spline R-Matrix Calculations for Electron Collisions with Ytterbium;https://www.mdpi.com/2218-2004/9/3/47
2021;Physical Review A 104 (1)_ 013105;Single-cycle versus multicycle nonsequential double ionization of argon;https://link.aps.org/accepted/10.1103/PhysRevA.104.013105
2021;The European Physical Journal D 75_ 1-11;Linear dichroism in few-photon ionization of laser-dressed helium;https://link.springer.com/article/10.1140/epjd/s10053-021-00218-0
2021;Bulletin of the American Physical Society 66;Multi-Sideband RABBITT in Ar: Experiment and Theory;
2021;Bulletin of the American Physical Society 66;Study of attoclock experiments using Bohmian mechanics;
2021;Bulletin of the American Physical Society 66;Attosecond time delays near the photoionisation threshold of neon;
2021;Bulletin of the American Physical Society 66;Magnetic Dichroism in the Two-and Three-Photon Ionization of Polarized Lithium;
2021;Bulletin of the American Physical Society 66;Circular Dichroism in Atomic Resonance-Enhanced Few-Photon Ionization;
2021;Bulletin of the American Physical Society 66;Quantum control of entangled photon-pair generation in electron-ion collisions driven by laser-synthesized photoelectron wave packets;
2021;Bulletin of the American Physical Society 66;Emergence of light-induced states in the few-photon ionization of atomic helium;
2021;Physical Review A 103 (5)_ 053125;Circular dichroism in atomic resonance-enhanced few-photon ionization;https://link.aps.org/accepted/10.1103/PhysRevA.103.053125
2021;Physical Review A 103 (5)_ 053102;Anticorrelation in nonsequential double ionization of helium;https://link.aps.org/accepted/10.1103/PhysRevA.103.053102
2021;Physical Review A 103 (4)_ 043112;Quantum control of entangled photon-pair generation in electron-atom collisions driven by laser-synthesized free-electron wave packets;https://link.aps.org/accepted/10.1103/PhysRevA.103.043112
2021;Journal of Physical and Chemical Reference Data 50 (1);Recommended Cross Sections for Electron–Indium Scattering;https://par.nsf.gov/servlets/purl/10282749
