year;jounral;title;url
2019;The Astrophysical Journal 888 (1), 10;Collision and Radiative Parameters for Cr ii Lines Observed in Stellar and Nebular Spectra;https://iopscience.iop.org/article/10.3847/1538-4357/ab557b/pdf
2019;Journal of Physics B: Atomic, Molecular and Optical Physics 53 (1), 015204;Cross sections for electron scattering from atomic lead;https://par.nsf.gov/servlets/purl/10127673
2019;Plasma Sources Science and Technology 28 (10), 105005;A xenon collisional-radiative model applicable to electric propulsion devices: II. Kinetics of the 6s, 6p, and 5d states of atoms and ions in Hall thrusters;https://iopscience.iop.org/article/10.1088/1361-6595/ab30b7/ampdf
2019;Plasma Sources Science and Technology 28 (10), 105004;A xenon collisional-radiative model applicable to electric propulsion devices: I. Calculations of electron-impact cross sections for xenon ions by the Dirac B-spline R-matrix …;https://iopscience.iop.org/article/10.1088/1361-6595/ab3125/ampdf
2019;Physical Review A 100 (2), 023405;Revisiting the recollisional excitation-tunneling process in strong-field nonsequential double ionization of helium;https://link.aps.org/accepted/10.1103/PhysRevA.100.023405
2019;Physical Review A 100 (1), 012702;Effect of cascade transitions on the polarization of light emitted after electron-impact excitation of Zn by spin-polarized electrons;https://link.aps.org/accepted/10.1103/PhysRevA.100.012702
2019;VizieR Online Data Catalog, J/A+ A/627/A177;VizieR Online Data Catalog: Non-LTE analysis of KI in late-type stars (Reggiani+, 2019);
2019;Astronomy & Astrophysics 627, A177;Non-LTE analysis of KI in late-type stars;https://www.aanda.org/articles/aa/abs/2019/07/aa35156-19/aa35156-19.html
2019;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2019 …;Benchmark calculations for photoionization of neutral iron from the ground and excited states;https://par.nsf.gov/servlets/purl/10087587
2019;The Astrophysical Journal Supplement Series 242 (1), 9;Collision and radiative rates for infrared to extreme ultraviolet lines of S III;https://iopscience.iop.org/article/10.3847/1538-4365/ab17e1/pdf
2019;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2019 …;Effect of cascade transitions after electron-impact excitation of Zn by spin-polarized electrons.;
2019;Atomic data and nuclear data tables 127, 1-21;Recommended electron-impact excitation and ionization cross sections for Be I;https://www.sciencedirect.com/science/article/am/pii/S0092640X18300652
2019;Physical Review A 99 (4), 043408;Pulse-duration dependence of the double-to-single ionization ratio of Ne by intense 780-nm and 800-nm laser fields: Comparison of simulations with experiments;https://link.aps.org/accepted/10.1103/PhysRevA.99.043408
2019;Astronomy & Astrophysics 623, A103;Ca line formation in late-type stellar atmospheres-I. The model atom;https://www.aanda.org/articles/aa/abs/2019/03/aa34680-18/aa34680-18.html
2019;Physical Review A 99 (2), 023430;Photoionization of neutral iron from the ground and excited states;https://link.aps.org/accepted/10.1103/PhysRevA.99.023430
2019;Physical Review A 99 (1), 012706;Electron-impact excitation and ionization of atomic calcium at intermediate energies;https://link.aps.org/accepted/10.1103/PhysRevA.99.012706
2019;APS Annual Gaseous Electronics Meeting Abstracts, FT1. 034;Using a collisional-radiative model to validate e-Xe+ cross sections calculated by the Dirac B-spline R-matrix approach;
2019;APS Annual Gaseous Electronics Meeting Abstracts, MW1. 020;A comprehensive collisional-radiative model for Xe+ and Xe excited species;
2019;APS April Meeting Abstracts 2019, S01. 007;Simulation of Fe II Emission Spectra in Active Galactic Nuclei;
2018;The Astrophysical Journal 867 (1), 63;Electron Scattering from Neutral Fe and Low-energy Photodetachment of Fe−;https://iopscience.iop.org/article/10.3847/1538-4357/aaddfa/pdf
2018;Physical Review D 98 (4), 042005;Dark Energy Survey year 1 results: Galaxy-galaxy lensing;https://link.aps.org/accepted/10.1103/PhysRevD.98.042005
2018;Astronomy & Astrophysics 616, A89;Inelastic O+ H collisions and the O i 777 nm solar centre-to-limb variation;https://www.aanda.org/articles/aa/pdf/2018/08/aa32770-18.pdf
2018;Physical Review A 98 (1), 012706;Electron-impact excitation of forbidden and allowed transitions in Fe ii;https://link.aps.org/accepted/10.1103/PhysRevA.98.012706
